# convert2MPa_mm  vers. 1.3 starts...
# Program convert to table of mpa_mm, from other units table
#Fitted da/dn data G40.21-50A Haddad
#Got Original #deltaKunits=                     ksi_in    
#Got Original #dadnunits=                     inch      
#Name= G40.21-50A                    
#Conversions:
# 1 ksi*sqrt(inch) = 1.0989*MPa*sqrt(m)
# 1 MPa*sqrt(m)  =   31.6228*N/(mm**(3/2) )
# 1 MPa*sqrt(mm) =         1 N/(mm**(3/2) )

#All inputs converted to    MPa*sqrt(mm)   and  mm/cycle
#Note that this is same as  N/(mm**(3/2))  and  mm/cycle

#   MPa*sqrt(mm)  mm/Cycle
 0.9420631E+03  0.1076292E-05
 0.1028716E+04  0.4654601E-05
 0.1084491E+04  0.9355201E-05
 0.1263187E+04  0.2266854E-04
 0.1454168E+04  0.4959452E-04
 0.1785609E+04  0.1161252E-03
 0.2366353E+04  0.3010764E-03
 0.2780023E+04  0.6257112E-03
 0.3444585E+04  0.1465354E-02
 0.4330130E+04  0.4137685E-02
